isbn,title,author,year
9780451215730,Prince of Fire,Daniel Silva,2005
9781565125520,Breakfast with Buddha,Roland Merullo,2007
9780006280840,Surprised by Joy: The Shape of My Early Life,C.S. Lewis,1955
9780886773780,"Arrow's Flight (Heralds of Valdemar, #2)",Mercedes Lackey,1987
9780767903820,Notes from a Big Country,Bill Bryson,1998
9780505527840,Trouble in Mudbug,Jana Deleon,2009
9780399256930,Out of the Easy,Ruta Sepetys,2013
9780385736850,The Dead-Tossed Waves ,Carrie Ryan,2010
9780374249400,The Rest Is Noise: Listening to the Twentieth Century,Alex  Ross,2007
9781416914180,Raven Rise,D.J. MacHale,2008
9780316228530,The Casual Vacancy,J.K. Rowling,2012
9780802142400,Essays in Love,Alain de Botton,1993
9780385732570,Gathering Blue,Lois Lowry,2000
9780439925500,Alcatraz Versus the Evil Librarians,Brandon Sanderson,2007
9780142403710,Al Capone Does My Shirts,Gennifer Choldenko,2004
9781406309360,Snakehead,Anthony Horowitz,2007
9781500453300,"The Long Way to a Small, Angry Planet",Becky  Chambers,2014
9780375705240,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,2000
9780224094150,The Sense of an Ending,Julian Barnes,2011
9780440241610,The Gods of War,Conn Iggulden,2006
9781609089470,Edenbrooke,Julianne Donaldson,2012
9781442408620,"The Fallen and Leviathan (The Fallen, #1-2)",Thomas E. Sniegoski,2010
9780763631630,The Gift,Alison Croggon,2002
9781423128200,The Atlantis Complex,Eoin Colfer,2010
9780061957930,The Undead Pool,Kim Harrison,2014
9780571169340,Arcadia,Tom Stoppard,1993
9781416551610,"The Dirty Life: On Farming, Food, and Love",Kristin Kimball,2010
9781423113390,The Lost Hero,Rick Riordan,2010
9780802720870,Chain Reaction,Simone Elkeles,2011
9780385413720,From Beirut to Jerusalem,Thomas L. Friedman,1989
9780553804330,Say Goodbye,Lisa Gardner,2008
9780765316970,The Last Colony,John Scalzi,2007
9780345485600,Daisy Fay and the Miracle Man,Fannie Flagg,1981
9780060725130,Ninth Key,Meg Cabot,2001
9780007149830,The Yiddish Policemen's Union,Michael Chabon,2007
9781408810450,Entice,Carrie Jones,2010
9780385730300,The Sweet Far Thing,Libba Bray,2007
9781423102990,Knuffle Bunny Too: A Case of Mistaken Identity,Mo Willems,2007
9780060525130,"Big Boned (Heather Wells, #3)",Meg Cabot,2007
9781862308170,Forbidden,Tabitha Suzuma,2010
9780312348650,Baby Proof,Emily Giffin,2006
9780752858630,The Matlock Paper,Robert Ludlum,1973
9780441014190,"Dauntless (The Lost Fleet, #1)",Jack Campbell,2006
9780375705850,Plainsong,Kent Haruf,1999
9780756405720,Rosemary and Rue,Seanan McGuire,2009
9780515137120,Birthright,Nora Roberts,2003
9780425273870,Captivated by You,Sylvia Day,2014
9781250054810,The Book of Speculation,Erika Swyler,2015
